employee_id,department,comment
E001,HR,Management is disorganized and the constant changes are exhausting.
E002,Operations,"Great culture here, lots of opportunity to grow and learn new things."
E003,Engineering,"Poor communication from leadership and unclear priorities are frustrating. The tools are outdated and slow, which makes everything harder."
E004,Engineering,I love the flexibility and the people I work with are fantastic.
E005,Sales,Too many meetings and not enough time to do actual focused work.
E006,Engineering,"The tools are outdated and slow, which makes everything harder. Too many meetings and not enough time to do actual focused work."
E007,Engineering,I really enjoy working with my team and feel supported by my manager.
E008,Operations,"I have mixed feelings, some days are good and some are difficult."
E009,Operations,The collaborative environment makes coming to work genuinely enjoyable.
E010,Marketing,The collaborative environment makes coming to work genuinely enjoyable.
E011,Marketing,"Things are generally fine, no major complaints at the moment."
E012,Sales,"The tools are outdated and slow, which makes everything harder."
E013,Operations,My role is challenging in a good way and I am happy with my progress.
E014,Engineering,The job is okay and the commute is manageable for me.
E015,HR,Too many meetings and not enough time to do actual focused work.
E016,HR,"The job is okay and the commute is manageable for me. Things are generally fine, no major complaints at the moment."
E017,Marketing,The collaborative environment makes coming to work genuinely enjoyable.
E018,Engineering,Leadership is transparent and I feel valued for my contributions.
E019,Operations,Poor communication from leadership and unclear priorities are frustrating.
E020,Operations,Too many meetings and not enough time to do actual focused work.
E021,Marketing,Excellent work life balance and a really positive atmosphere.
E022,Operations,
E023,Operations,The collaborative environment makes coming to work genuinely enjoyable.
E024,Sales,I am disappointed by the limited training and poor onboarding.
E025,Engineering,"No strong opinions, the role meets my basic expectations."
E026,Engineering,
E027,HR,Excellent work life balance and a really positive atmosphere.
E028,Engineering,Plenty of growth opportunities and the benefits are wonderful. My role is challenging in a good way and I am happy with my progress.
E029,Marketing,My manager is excellent and always encourages my development. Excellent work life balance and a really positive atmosphere.
E030,Sales,Poor communication from leadership and unclear priorities are frustrating. I am frustrated by the lack of advancement and feel stuck in my role.
E031,Operations,"The tools are outdated and slow, which makes everything harder. Poor communication from leadership and unclear priorities are frustrating."
E032,Engineering,"I feel motivated and appreciated, the recognition program is great."
E033,Engineering,"I really enjoy working with my team and feel supported by my manager. Great culture here, lots of opportunity to grow and learn new things."
E034,Sales,Management is disorganized and the constant changes are exhausting.
E035,HR,Some processes could be improved but overall it is acceptable.
E036,HR,Leadership is transparent and I feel valued for my contributions.
E037,Sales,"Work is steady and predictable, which suits me well enough. Things are generally fine, no major complaints at the moment."
E038,Marketing,"No strong opinions, the role meets my basic expectations."
E039,Operations,I feel undervalued and the pay does not reflect my effort.
E040,Sales,Stressful environment with unrealistic deadlines and little support.
E041,Marketing,"I have mixed feelings, some days are good and some are difficult."
E042,Sales,Leadership is transparent and I feel valued for my contributions. I love the flexibility and the people I work with are fantastic.
E043,Operations,"Great culture here, lots of opportunity to grow and learn new things. My role is challenging in a good way and I am happy with my progress."
E044,Marketing,Stressful environment with unrealistic deadlines and little support. I am frustrated by the lack of advancement and feel stuck in my role.
E045,Engineering,Excellent work life balance and a really positive atmosphere.
E046,Engineering,My role is challenging in a good way and I am happy with my progress.
E047,HR,
E048,Sales,Management is disorganized and the constant changes are exhausting.
E049,Marketing,The collaborative environment makes coming to work genuinely enjoyable.
E050,Marketing,Poor communication from leadership and unclear priorities are frustrating.
E051,Sales,I really enjoy working with my team and feel supported by my manager.
E052,Marketing,
E053,Engineering,I really enjoy working with my team and feel supported by my manager. I love the flexibility and the people I work with are fantastic.
E054,Operations,The collaborative environment makes coming to work genuinely enjoyable.
E055,Sales,"I feel motivated and appreciated, the recognition program is great."
E056,Marketing,My role is challenging in a good way and I am happy with my progress.
E057,HR,Low morale across the team and high turnover is a real problem.
E058,Sales,"Things are generally fine, no major complaints at the moment."
E059,Sales,"The tools are outdated and slow, which makes everything harder."
E060,Sales,Poor communication from leadership and unclear priorities are frustrating. The workload is overwhelming and I feel burned out most weeks.
